class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	cast_time	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Death Knight	Frost	251	Anti-Magic Zone	51052	talent-active	TraitNodeEntry	true	240	0	Cooldown	class		76065	96194	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Places an Anti-Magic Zone for 6 sec, reducing the magic damage taken by party or raid members by 15%.
Death Knight	Frost	251	Death Pact	48743	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		76075	96204	1	Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Create a death pact that heals you for 50% of your maximum health, but absorbs incoming healing equal to 30% of your max health for 15 sec.
Death Knight	Frost	251	Icebound Fortitude	48792	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		76081	96210	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Your blood freezes, granting immunity to Stun effects and reducing all damage you take by 30% for 8 sec.
Death Knight	Frost	251	Raise Dead	46585	talent-active	TraitNodeEntry	true	120	0	Cooldown	class		76072	96201	1		Class 4 (Special)			api	Raises a ghoul to fight by your side.  You can have a maximum of one ghoul at a time. Lasts 1 min.
Death Knight	Frost	251	Breath of Sindragosa	1249658	talent-active	TraitNodeEntry	true	90	0	Cooldown	spec		76093	96222	1	Essential/Other		cdm-only:CooldownSetSpell		api	Call upon Sindragosa's aid in battle for 8 sec, continuously dealing 49 Frost damage every 1 sec to enemies in a cone in front of you. Consuming Killing Machine or Rime increases the duration by 0.8 sec. Deals reduced damage to secondary targets.\n\nGrants a charge of Empower Rune Weapon at the start and 2 Runes at the end.
Death Knight	Frost	251	Frostwyrm's Fury	279302	talent-active	TraitNodeEntry	true	90	0	Cooldown	spec		76106	96236	1	Essential		cdm-only:CooldownSetSpell		api	Summons a frostwyrm who breathes on all enemies within 40 yd in front of you, dealing 129 Frost damage, stunning enemies for 3 sec, and slowing movement speed by 50% for 10 sec.
Death Knight	Frost	251	Blinding Sleet	207167	talent-active	TraitNodeEntry	true	60	0	Cooldown	class		76044	96172	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Targets in a cone in front of you are blinded, causing them to wander disoriented for 5 sec. Damage may cancel the effect.\n\nWhen Blinding Sleet ends, enemies are slowed by 50% for 6 sec.
Death Knight	Frost	251	Pillar of Frost	51271	talent-active	TraitNodeEntry	true	45	0	Cooldown	spec		101929	125874	1	Essential/Other	Cooldown 1	cdm-only:CooldownSetSpell		api	The power of frost increases your Strength by 30% for 12 sec.
Death Knight	Frost	251	Reaper's Mark	439843	talent-active	TraitNodeEntry	true	45	0	Cooldown	hero	Deathbringer	95062	117659	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Viciously slice into the soul of your enemy, dealing 109 Shadowfrost damage and applying Reaper's Mark.\n\nEach time you deal Shadow or Frost damage, add a stack of Reaper's Mark. After 12 sec or reaching 40 stacks, the mark explodes, dealing 14 damage per stack.\n\nReaper's Mark travels to an unmarked enemy nearby if the target dies.
Death Knight	Frost	251	Mind Freeze	47528	talent-active	TraitNodeEntry	true	15	0	Rotational	class		76084	96213	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Smash the target's mind with cold, interrupting spellcasting and preventing any spell in that school from being cast for 5 sec.
Death Knight	Frost	251	Control Undead	111673	talent-active	TraitNodeEntry	true	0	1.5	Rotational	class		76059	96188	1		Class 5 (Purge)			api	Dominates the target undead creature up to level 71, forcing it to do your bidding for 5 min.
