class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Druid	Guardian	104	Berserk	50334	talent-active	TraitNodeEntry	true	180	Cooldown	spec		82149	103216	1	Essential/Other		cdm-only:CooldownSetSpell		api	Go berserk for 15 sec, reducing the cooldowns of Mangle, Thrash, and Growl by 50% and the cooldown of Frenzied Regeneration by 100%.
Druid	Guardian	104	Innervate	29166	talent-active	TraitNodeEntry	true	180	Cooldown	class		82244	103324	1	Utility	Self-Heal 3 (Overflow)	cdm-only:CooldownSetSpell		api	Infuse a friendly healer with energy, causing them to regenerate 25% of their maximum mana over 8 sec.
Druid	Guardian	104	Heart of the Wild	1261867	talent-active	TraitNodeEntry	true	120	Cooldown	class		82231	103309	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Perform a powerful off-role ability depending on your currently active shapeshift form.\n\nNon-shapeshifted:\nEmpowered Wild Growth that heals up to 5 injured allies within 30 yards of the target for 9,773 over 7 sec.\n\nBear Form:\nIncrease your maximum health by 30% for 20 sec.
Druid	Guardian	104	Stampeding Roar	106898	talent-active	TraitNodeEntry	true	120	Cooldown	class		82234	103312	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Shift into Bear Form and let loose a wild roar, increasing the movement speed of all friendly players within 15 yards by 60% for 8 sec.
Druid	Guardian	104	Lunar Beam	204066	talent-active	TraitNodeEntry	true	60	Cooldown	spec		92587	114700	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Summons a beam of lunar light at your target's location, dealing 14 Arcane damage each second to your target and 14 to up to 5 other enemies within 8 yd. \n\nLunar Beam also increases your mastery by 18%, and heals you for 965 over 8 sec.
Druid	Guardian	104	Sundering Roar	1253799	talent-active	TraitNodeEntry	true	60	Cooldown	spec		92588	114701	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Roar with earthshattering ferocity, dealing 97 Physical damage, and resetting the cooldown of Thrash and allowing it to stack 5 additional times for 12 sec. \n\nWhen Sundering Roar ends, any excess stacks of Thrash immediately deal their remaining damage.
Druid	Guardian	104	Maim	22570	talent-active	TraitNodeEntry	true	30	Rotational	class		82221	103299	1	Essential		cdm-only:CooldownSetSpell		api	Finishing move that causes Physical damage and stuns the target. Damage and duration increased per combo point:\n\n   1 point  : 5 damage, 1 sec\n   2 points: 10 damage, 2 sec\n   3 points: 15 damage, 3 sec\n   4 points: 20 damage, 4 sec\n   5 points: 25 damage, 5 sec
Druid	Guardian	104	Typhoon	132469	talent-active	TraitNodeEntry	true	30	Rotational	class		82209	103287	1	Utility	CC 2	class-baseline:SkillLineAbility:798;cdm-only:CooldownSetSpell		api	Blasts targets within 15 yards in front of you with a violent Typhoon, knocking them back and reducing their movement speed by 50% for 6 sec. Usable in all shapeshift forms.
Druid	Guardian	104	Skull Bash	106839	talent-active	TraitNodeEntry	true	15	Rotational	class		82242	103322	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	You charge and bash the target's skull, interrupting spellcasting and preventing any spell in that school from being cast for 5 sec.
Druid	Guardian	104	Starsurge	197626	talent-active	TraitNodeEntry	true	10	Rotational	class		82200	103278	1					api	Launch a surge of stellar energies at the target, dealing 803 Astral damage.
