class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Warrior	Protection	73	Rallying Cry	97462	talent-active	TraitNodeEntry	true	180	Cooldown	class		90331	112188	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Lets loose a rallying cry, granting all party or raid members within 40 yards 10% temporary and maximum health for 10 sec.\n\nHealth granted increased by 50% when not in a raid.
Warrior	Protection	73	Avatar	107574	talent-active	TraitNodeEntry	true	90	Cooldown	spec		90433	112305	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Transform into a colossus, increasing all damage you deal by 20% and reducing damage you take from area of effect attacks by 5% for 20 sec.
Warrior	Protection	73	Champion's Spear	376079	talent-active	TraitNodeEntry	true	90	Cooldown	class		90380	112247	1	Essential		cdm-only:CooldownSetSpell		api	Throw a spear at the target location, chaining all enemies in the area to the spear's location and dealing 84 Physical damage instantly and an additional 128 Physical damage over 6 sec. \n\nWhile the spear is active, activating this ability will cause you to leap to the spear, dealing 16 Physical damage to all targets.\n\nAll damage dealt reduced beyond 5 targets.\n\nGenerates 10 Rage.
Warrior	Protection	73	Disrupting Shout	386071	talent-active	TraitNodeEntry	true	90	Cooldown	spec		107579	132886	1	Buff		cdm-only:CooldownSetSpell		api	Taunts all enemies within 14 yds to attack you for 6 sec, interrupts all spellcasting within 14 yds and prevents any spell in that school from being cast for 6 sec. Increases the threat you generate against the target by 800%.
Warrior	Protection	73	Demolish	436358	talent-active	TraitNodeEntry	true	45	Cooldown	hero	Colossus	94818	117415	1	Essential		cdm-only:CooldownSetSpell		api	Unleash a series of precise and powerful strikes against your target, dealing 802 damage to it, and 430 damage to enemies within 10 yds of it. Deals reduced damage beyond 8 targets.\n\nWhile channeling Demolish, you take 10% less damage and are immune to stuns, knockbacks, and forced movement effects.\n\nYou can block, parry, dodge, and use certain defensive abilities while channeling Demolish.
Warrior	Protection	73	Demoralizing Shout	1160	talent-active	TraitNodeEntry	true	45	Cooldown	spec		90305	112159	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Demoralizes all enemies within 10 yards, reducing the damage they deal to you by 20% for 8 sec.
Warrior	Protection	73	Shield Charge	385952	talent-active	TraitNodeEntry	true	45	Cooldown	spec		90317	112173	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Charge to an enemy with your shield, granting you Shield Block and dealing 297 Physical damage to it and 94 Physical damage to all enemies within 10 yards.\n\nAlso stuns the primary target for 4 sec.\n\nGenerates 20 Rage.
Warrior	Protection	73	Shockwave	46968	talent-active	TraitNodeEntry	true	40	Rotational	class		90375	112242	1	Buff/Utility	CC 2	cdm-only:CooldownSetSpell		api	Sends a wave of force in a frontal cone, causing 7 damage and stunning all enemies within 10 yards for 2 sec.
Warrior	Protection	73	Storm Bolt	107570	talent-active	TraitNodeEntry	true	30	Rotational	class		90337	112198	1	Buff/Utility	CC	cdm-only:CooldownSetSpell		api	Hurls your weapon at an enemy, causing 9 Physical damage and stunning for 4 sec.
Warrior	Protection	73	Impending Victory	202168	talent-active	TraitNodeEntry	true	25	Rotational	class		90326	112183	1		Self-Heal 1			api	Instantly attack the target, causing 20 damage and healing you for 30% of your maximum health.\n\nKilling an enemy that yields experience or honor resets the cooldown of Impending Victory and makes it cost no Rage.
Warrior	Protection	73	Shield Wall	871	talent-active	TraitNodeEntry	true	8	Rotational	spec		90302	112156	1	Essential/Other	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reduces all damage you take by 40% for 8 sec.
Warrior	Protection	73	Rend	772	talent-active	TraitNodeEntry	true	6	Rotational	class		109391	135597	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Lash out with your weapon, striking all targets within 10 yds for 92 Physical damage instantly and wounding them for an additional 74 Bleed damage over 15 sec.
Warrior	Protection	73	Thunder Clap	6343	talent-active	TraitNodeEntry	true	6	Rotational	class		90343	112205	1	Buff/Essential	Rotational 2	cdm-only:CooldownSetSpell		api	Blasts all enemies within 8 yards for 82 Physical damage and reduces their movement speed by 20% for 10 sec. Deals reduced damage beyond 5 targets.\n\nIf you know Rend, inflicts Rend on all targets.
Warrior	Protection	73	Battle Stance	386164	talent-active	TraitNodeEntry	true	3	Rotational	class		90261	112112	1	Buff	Stance 2	cdm-only:CooldownSetSpell		api	A balanced combat state that increases the critical strike chance of your abilities by 3% and reduces the duration of movement impairing effects by 10%. \n\nLasts until canceled.
Warrior	Protection	73	Defensive Stance	386208	talent-active	TraitNodeEntry	true	3	Rotational	class		90330	112187	1	Buff	Stance 1	cdm-only:CooldownSetSpell		api	A defensive combat state that reduces all damage you take by 15% and all damage you deal by 10%.\n\nLasts until canceled.
Warrior	Protection	73	Heroic Leap	6544	talent-active	TraitNodeEntry	true	1.5	Rotational	class		90346	112208	1	Utility	Movement Ability	class-baseline:SkillLineAbility:840;cdm-only:CooldownSetSpell		api	Leap through the air toward a target location, slamming down with destructive force to deal 8 Physical damage to all enemies within 8 yards.
Warrior	Protection	73	Intervene	3411	talent-active	TraitNodeEntry	true	1.5	Rotational	class		90329	112186	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Run at high speed toward an ally, intercepting all melee and ranged attacks against them for 6 sec while they remain within 10 yds.
Warrior	Protection	73	Ignore Pain	190456	talent-active	TraitNodeEntry	true	1	Rotational	spec		90295	112149	1	Essential/Other	Rotational 6	cdm-only:CooldownSetSpell		api	Fight through the pain, ignoring 50% of damage taken for 12 sec sec or until 451 damage has been prevented.
Warrior	Protection	73	Spell Reflection	23920	talent-active	TraitNodeEntry	true	1	Rotational	class		90385	112253	1	Buff/Essential	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	Raise your weapon, reflecting the first spell cast on you and reducing magic damage you take by 20% for 5 sec.
Warrior	Protection	73	Last Stand	1243659	talent-active	TraitNodeEntry	true	0	Rotational	spec		107576	132879	1	Buff	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Activating Shield Wall increases your maximum health by 30% for 8 sec and instantly heals you for that amount.
Warrior	Protection	73	Revenge	6572	talent-active	TraitNodeEntry	true	0	Rotational	spec		90298	112152	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Swing in a wide arc, dealing 84 Physical damage to all enemies in front of you. Deals reduced damage beyond 5 targets.\n\nYour successful dodges and parries have a chance to make your next Revenge cost no Rage.
Warrior	Protection	73	Shattering Throw	64382	talent-choice	TraitNodeEntry	true	180	Cooldown	class		90351	112214	1	Utility		cdm-only:CooldownSetSpell		api	Hurl your weapon at the enemy,  removing any magical immunities and causing 214 Physical damage, ignoring armor. Deals up to 500% increased damage to absorb shields.
Warrior	Protection	73	Intimidating Shout	5246	talent-choice	TraitNodeEntry	true	90	Cooldown	class		108705	134254	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Causes the targeted enemy to cower in fear while all enemies within 8 yards flee from you and their movement speed is reduced by 70% for 8 sec.\nDamage may cancel the effect.
Warrior	Protection	73	Piercing Howl	12323	talent-choice	TraitNodeEntry	true	90	Cooldown	class		108705	136627	1	Buff/Utility	Class 2 (CC)	cdm-only:CooldownSetSpell		api	Snares all enemies within 12 yards, reducing their movement speed by 70% for 8 sec.\n\nSpurs all allies within 6 yards, increasing their movement speed by 30% for 4 sec.
