class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Hunter	Marksmanship	254	Trueshot	288613	talent-active	TraitNodeEntry	true	120	Cooldown	spec		103947	128367	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Increases your critical strike chance by 10% and critical strike damage by 20% for 15 sec.\n\n Aimed Shot\nCooldown recovers 40% faster.\n\n Rapid Fire\nCooldown recovers 60% faster.
Hunter	Marksmanship	254	Camouflage	199483	talent-active	TraitNodeEntry	true	60	Cooldown	class		110156	136676	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	cdm-only:CooldownSetSpell		api	You and your pet blend into the surroundings and gain stealth for 1 min. While camouflaged, you will heal for 2% of maximum health every 1 sec.
Hunter	Marksmanship	254	Intimidation	474421	talent-active	TraitNodeEntry	true	60	Cooldown	class		103990	128413	1	Buff/Utility	CC	pet:SkillLineAbility:270;cdm-only:CooldownSetSpell		api	Your Spotting Eagle descends from the skies, stunning your target for 5 sec.\n\nThis ability does not require line of sight when used against players.
Hunter	Marksmanship	254	Binding Shot	109248	talent-active	TraitNodeEntry	true	45	Cooldown	class		109488	135711	1	Buff/Utility	CC 2	class-baseline:SkillLineAbility:795;cdm-only:CooldownSetSpell		api	Fires a magical projectile, tethering the enemy and any other enemies within 5 yds for 10 sec, stunning them for 3 sec if they move more than 5 yds from the arrow.
Hunter	Marksmanship	254	Volley	260243	talent-active	TraitNodeEntry	true	45	Cooldown	spec		103956	128376	1	Essential	Rotational 6	cdm-only:CooldownSetSpell		api	Rain a volley of arrows down over 6 sec, dealing up to 588 Physical damage to any enemy in the area, and gain the effects of Trick Shots for as long as Volley is active.
Hunter	Marksmanship	254	Explosive Shot	212431	talent-active	TraitNodeEntry	true	30	Rotational	spec		110575	137378	1	Essential		cdm-only:CooldownSetSpell		api	Fires an explosive shot at your target. After 3 sec, the shot will explode, dealing 204 Fire damage to all enemies within 8 yds. Deals reduced damage beyond 5 targets.
Hunter	Marksmanship	254	Misdirection	34477	talent-active	TraitNodeEntry	true	30	Rotational	class		102419	126484	1	Utility	Class 3 (Tag)	cdm-only:CooldownSetSpell		api	Misdirects all threat you cause to the targeted party or raid member, beginning with your next attack within 30 sec and lasting for 8 sec.
Hunter	Marksmanship	254	Counter Shot	147362	talent-active	TraitNodeEntry	true	24	Rotational	class		102402	126466	1	Utility	Interrupt	cdm-only:CooldownSetSpell		api	Interrupts spellcasting, preventing any spell in that school from being cast for 5 sec.
Hunter	Marksmanship	254	Rapid Fire	257044	talent-active	TraitNodeEntry	true	16	Rotational	spec		103961	128383	1	Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Shoot a stream of 7 shots at your target over 1.8 sec, dealing a total of 175 Physical damage. Usable while moving.\n\nEach shot generates 3 Focus.
Hunter	Marksmanship	254	Tranquilizing Shot	19801	talent-active	TraitNodeEntry	true	10	Rotational	class		109489	135712	1	Utility	Class 5 (Purge)	cdm-only:CooldownSetSpell		api	Removes 1 Enrage and 1 Magic effect from an enemy target.
Hunter	Marksmanship	254	Concussive Shot	5116	talent-active	TraitNodeEntry	true	5	Rotational	class		102407	126471	1		Slow			api	Dazes the target, slowing movement speed by 50% for 6 sec.
Hunter	Marksmanship	254	Aimed Shot	19434	talent-active	TraitNodeEntry	true	0	Rotational	spec		103982	128404	1	Essential	Rotational 1	cdm-only:CooldownSetSpell		api	A powerful aimed shot that deals 283 Physical damage.
Hunter	Marksmanship	254	Black Arrow	466930	talent-active	TraitNodeEntry	true	0	Rotational	hero	Dark Ranger	109961	136446	1	Buff		talent-passive:TraitNodeEntry;cdm-only:CooldownSetSpell		api	You attempt to finish off a wounded target, dealing 121 Shadow damage and 140 Shadow damage over 8 sec. Only usable on enemies above 80% health or below 20% health.
Hunter	Marksmanship	254	Kill Shot	53351	talent-active	TraitNodeEntry	true	0	Rotational	spec		109490	135713	1	Essential		cdm-only:CooldownSetSpell		api	You attempt to finish off a wounded target, dealing 245 Physical damage. Only usable on enemies with less than 20% health.
Hunter	Marksmanship	254	Survival of the Fittest	264735	talent-active	TraitNodeEntry	true	0	Rotational	class		102422	126488	1	Buff/Utility	Personal Defensive 1	cdm-only:CooldownSetSpell		api	Reduces all damage you and your pet take by 30% for 6 sec.
Hunter	Marksmanship	254	Roar of Sacrifice	53480	talent-choice	TraitNodeEntry	true	120	Cooldown	class		110164	136686	1	Buff/Utility	Class 7 (Raid Defensive)	cdm-only:CooldownSetSpell		api	Instructs your pet to protect a friendly target, reducing their damage taken by 15%, but 50% of all damage taken by that target is transferred to your pet. \n\nLasts 10 sec or until your pet's health drops below 25%.
Hunter	Marksmanship	254	Tar Trap	187698	talent-choice	TraitNodeEntry	true	30	Rotational	class		102393	126457	1	Buff/Utility	Class 1 (Movement)	cdm-only:CooldownSetSpell		api	Hurls a tar trap to the target location that creates a 8 yd radius pool of tar around itself for 30 sec when the first enemy approaches. All enemies have 50% reduced movement speed while in the area of effect. Limit 1. Trap will exist for 1 min.
Hunter	Marksmanship	254	Scare Beast	1513	talent-choice	TraitNodeEntry	true	0	Rotational	class		102393	135707	1	Buff/Utility		cdm-only:CooldownSetSpell		api	Scares a beast, causing it to run in fear for up to 20 sec.  Damage caused may interrupt the effect.  Only one beast can be feared at a time.
Hunter	Marksmanship	254	Harrier's Cry	466904	class-baseline	SpecializationSpells	true	360	Cooldown						Buff/Utility	Class 8 (Lust/BRes)	cdm-only:CooldownSetSpell		api	Your Eagle descends from the skies with a screech, giving the signal to attack.\n\nIncreases haste by 30% for all party and raid members for 40 sec.\n\nAllies receiving this effect will become Sated and unable to benefit from Harrier's Cry or similar effects again for 10 min.
Hunter	Marksmanship	254	Aspect of the Chameleon	61648	class-baseline	SkillLineAbility:795	true	180	Cooldown										api	The Hunter takes on the aspect of a chameleon, becoming untrackable.
