class	spec	spec_id	name	spell_id	origin	source	castable	cooldown	band	tree	hero_tree	node_id	entry_id	max_ranks	blizz_category	seed_bucket	also_from	aliases	description_source	description
Rogue	Subtlety	261	Blind	2094	talent-active	TraitNodeEntry	true	120	Cooldown	class		90684	112572	1	Utility	Class 2 (CC)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Blinds the target, causing it to wander disoriented for 1 min. Damage may interrupt the effect. Limit 1.
Rogue	Subtlety	261	Cloak of Shadows	31224	talent-active	TraitNodeEntry	true	120	Cooldown	class		90697	112585	1	Buff/Utility	Self-Heal 4 (Emergency/Overflow)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Provides a moment of magic immunity, instantly removing all harmful spell effects. The cloak lingers, causing you to resist harmful spells for 5 sec.
Rogue	Subtlety	261	Evasion	5277	talent-active	TraitNodeEntry	true	120	Cooldown	class		90762	112654	1	Buff/Utility	Personal Defensive 1	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Increases your dodge chance by 100% for 10 sec.
Rogue	Subtlety	261	Shadow Blades	121471	talent-active	TraitNodeEntry	true	90	Cooldown	spec		90726	112614	1	Buff/Essential	Cooldown 1	cdm-only:CooldownSetSpell		api	Draws upon surrounding shadows to empower your weapons, causing your attacks to deal 20% additional damage as Shadow and causing your combo point generating abilities to generate double combo points for 16 sec.
Rogue	Subtlety	261	Goremaw's Bite	426591	talent-active	TraitNodeEntry	true	45	Cooldown	spec		94581	117169	1	Buff/Essential		cdm-only:CooldownSetSpell		api	Lashes out at the target, inflicting 114 Shadow damage and causing your next 3 finishing moves to cost no Energy.\n\nAwards 3 combo points.
Rogue	Subtlety	261	Thistle Tea	381623	talent-active	TraitNodeEntry	true	1	Rotational	class		90756	112648	1	Buff/Essential	Self-Heal 2	cdm-only:CooldownSetSpell		api	Restore 100 Energy.\n\nWhen your Energy is reduced below 30, drink a Thistle Tea.
Rogue	Subtlety	261	Gloomblade	200758	talent-active	TraitNodeEntry	true	0	Rotational	spec		90699	112587	1					api	Punctures your target with your shadow-infused blade for 43 Shadow damage, bypassing armor.\n\nAwards 1 combo point.
Rogue	Subtlety	261	Shiv	5938	talent-active	TraitNodeEntry	true	0	Rotational	class		90740	112630	1	Utility	Class 5 (Purge)	class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Attack with your off-hand, dealing 2 Physical damage, dispelling all enrage effects and applying a concentrated form of your active Non-Lethal poison.\n\nAwards 1 combo point.
Rogue	Subtlety	261	Tricks of the Trade	57934	talent-choice	TraitNodeEntry	true	30	Rotational	class		90686	112574	1	Buff/Utility		class-baseline:SkillLineAbility:921;cdm-only:CooldownSetSpell		api	Redirects all threat you cause to the targeted party or raid member, beginning with your next damaging attack within the next 30 sec and lasting 6 sec.
Rogue	Subtlety	261	Gouge	1776	talent-choice	TraitNodeEntry	true	25	Rotational	class		90741	112631	1	Utility	Slow	cdm-only:CooldownSetSpell		api	Gouges the eyes of an enemy target, incapacitating for 4 sec. Damage may interrupt the effect.\n\nMust be in front of your target.\n\nAwards 1 combo point.
Rogue	Subtlety	261	Atrophic Poison	381637	talent-choice	TraitNodeEntry	true	0	Rotational	class		90763	112655	1					api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy, reducing their damage by 3.0% for 10 sec.
Rogue	Subtlety	261	Numbing Poison	5761	talent-choice	TraitNodeEntry	true	0	Rotational	class		90763	112656	1			class-baseline:SkillLineAbility:921		api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy, clouding their mind and slowing their attack and casting speed by 15% for 10 sec.
Rogue	Subtlety	261	Shroud of Concealment	114018	class-baseline	SkillLineAbility:921	true	360	Cooldown						Buff/Utility	Class 8 (Lust/BRes)	cdm-only:CooldownSetSpell		api	Extend a cloak that shrouds party and raid members within 30 yards in shadows, providing stealth for 15 sec.
Rogue	Subtlety	261	Sprint	2983	class-baseline	SkillLineAbility:921	true	120	Cooldown						Buff/Utility	Movement Ability	cdm-only:CooldownSetSpell		api	Increases your movement speed by 70% for 8 sec. Usable while stealthed.
Rogue	Subtlety	261	Crimson Vial	185311	class-baseline	SkillLineAbility:921	true	30	Rotational						Buff/Utility	Self-Heal 1	cdm-only:CooldownSetSpell		api	Drink an alchemical concoction that heals you for 20% of your maximum health over 4 sec.
Rogue	Subtlety	261	Distract	1725	class-baseline	SkillLineAbility:921	true	30	Rotational						Utility		cdm-only:CooldownSetSpell		api	Throws a distraction, attracting the attention of all nearby monsters for 10 seconds. Usable while stealthed.
Rogue	Subtlety	261	Kidney Shot	408	class-baseline	SkillLineAbility:921	true	30	Rotational						Utility	CC	cdm-only:CooldownSetSpell		api	Finishing move that stuns the target. Lasts longer per combo point, up to 8 sec:\n   1 point : 4 seconds\n   2 points: 5 seconds\n   3 points: 6 seconds\n   4 points: 7 seconds\n   5 points: 8 seconds
Rogue	Subtlety	261	Kick	1766	class-baseline	SkillLineAbility:921	true	15	Rotational						Utility	Interrupt	cdm-only:CooldownSetSpell		api	A quick kick that interrupts spellcasting and prevents any spell in that school from being cast for 6 sec.
Rogue	Subtlety	261	Shadow Dance	185313	class-baseline	SpecializationSpells	true	6	Rotational						Buff/Essential	Rotational 6	cdm-only:CooldownSetSpell		api	Allows use of all Stealth abilities and grants all the combat benefits of Stealth for 6 sec. Effect not broken from taking damage or attacking.
Rogue	Subtlety	261	Stealth	1784	class-baseline	SkillLineAbility:921	true	2	Rotational						Buff	Stance 1	cdm-only:CooldownSetSpell		api	Conceals you in the shadows until cancelled, allowing you to stalk enemies without being seen.
Rogue	Subtlety	261	Cheap Shot	1833	class-baseline	SkillLineAbility:921	true	1	Rotational						Utility	CC 2	cdm-only:CooldownSetSpell		api	Stuns the target for 6 sec.\n\nAwards 1 combo point.
Rogue	Subtlety	261	Feint	1966	class-baseline	SkillLineAbility:921	true	1	Rotational						Buff/Utility	Personal Defensive 2	cdm-only:CooldownSetSpell		api	Performs an evasive maneuver, reducing damage taken from area-of-effect attacks by 40% for 6 sec.
Rogue	Subtlety	261	Vanish	1856	class-baseline	SkillLineAbility:921	true	1	Rotational						Essential/Utility	Class 4 (Special)	cdm-only:CooldownSetSpell		api	Allows you to vanish from sight, entering stealth while in combat. For the first 3 sec after vanishing, damage and harmful effects received will not break stealth. Also breaks movement impairing effects.
Rogue	Subtlety	261	Pick Pocket	921	class-baseline	SkillLineAbility:921	true	0.5	Rotational										api	Pick the target's pocket.
Rogue	Subtlety	261	Ambush	8676	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Ambush the target, causing 96 Physical damage.\n\nAwards 2 combo points.
Rogue	Subtlety	261	Backstab	53	class-baseline	SpecializationSpells	true	0	Rotational						Essential	Rotational 1	cdm-only:CooldownSetSpell		api	Stab the target, causing 38 Physical damage. Damage increased by 20% when you are behind your target.\n\nAwards 1 combo point.
Rogue	Subtlety	261	Black Powder	319175	class-baseline	SpecializationSpells	true	0	Rotational							Rotational 7			api	Finishing move that launches explosive Black Powder at all nearby enemies dealing Physical damage. Deals reduced damage beyond 8 targets.\n\n   1 point  : 6 damage\n   2 points: 13 damage\n   3 points: 20 damage\n   4 points: 26 damage\n   5 points: 33 damage
Rogue	Subtlety	261	Blade Flurry	22482	class-baseline	SkillLineAbility:921	true	0	Rotational										db2-template+redirect-unresolved	$@spelldesc319606
Rogue	Subtlety	261	Create: Crimson Vial	212205	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Create a Crimson Vial to share with allies. Maximum of 3 can be carried at once. \n\n Crimson Vial\nDrink an alchemical concoction that heals you for 30% of your maximum health over 6 sec.
Rogue	Subtlety	261	Crippling Poison	3408	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy, slowing movement speed by 50% for 12 sec.
Rogue	Subtlety	261	Deadly Poison	2818	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy for 27 Nature damage over 12 sec. Subsequent poison applications will instantly deal 2 Nature damage.
Rogue	Subtlety	261	Detection	56814	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Focus intently on trying to detect certain creatures.
Rogue	Subtlety	261	Eviscerate	196819	class-baseline	SkillLineAbility:921	true	0	Rotational						Essential	Rotational 3	cdm-only:CooldownSetSpell		api	Finishing move that disembowels the target, causing damage per combo point.\n   1 point  : 13 damage\n   2 points: 26 damage\n   3 points: 39 damage\n   4 points: 52 damage\n   5 points: 67 damage
Rogue	Subtlety	261	Instant Poison	315584	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy which instantly inflicts 2 Nature damage.
Rogue	Subtlety	261	Main Gauche	86392	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Your main-hand attacks have a 30% chance to trigger an attack with your off-hand that deals 0 Physical damage.
Rogue	Subtlety	261	Mutilate	5374	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Instantly attacks for 41 Physical damage.\n\nAwards 1 combo point.
Rogue	Subtlety	261	Pick Lock	1804	class-baseline	SkillLineAbility:921	true	0	Rotational										api	Allows opening of locked chests and doors that require a skill level of up to 70.
Rogue	Subtlety	261	Sap	6770	class-baseline	SkillLineAbility:921	true	0	Rotational							Class 1 (Movement)			api	Incapacitates a target not in combat for 1 min. Only works on Humanoids, Beasts, Demons, and Dragonkin. Damage will revive the target. Limit 1.
Rogue	Subtlety	261	Secret Technique	280719	class-baseline	SpecializationSpells	true	0	Rotational						Essential	Rotational 4	cdm-only:CooldownSetSpell		api	Finishing move that creates shadow clones of yourself. You and your shadow clones each perform a piercing attack on all enemies near your target, dealing Physical damage to the primary target and reduced damage to other targets.\n   1 point  : 30 total damage\n   2 points: 59 total damage\n   3 points: 89 total damage\n   4 points: 116 total damage\n   5 points: 148 total damage
Rogue	Subtlety	261	Shadowstrike	185438	class-baseline	SpecializationSpells	true	0	Rotational							Rotational 2			api	Strike the target, dealing 198 Physical damage.\n\nWhile Stealthed, you strike through the shadows and appear behind your target up to 25 yds away, dealing 25% additional damage.\n\nAwards 2 combo points.
Rogue	Subtlety	261	Shuriken Storm	197835	class-baseline	SpecializationSpells	true	0	Rotational							Rotational 5			api	Sprays shurikens at all enemies within 10 yards, dealing 22 Physical damage. Deals reduced damage beyond 8 targets.\n\nAwards 1 combo point per target hit.
