spell_id	name	description_source	description
17	Power Word: Shield	api	Shields an ally for 15 sec, absorbing 1,747 damage.
53	Backstab	api	Stab the target, causing 38 Physical damage. Damage increased by 20% when you are behind your target.\n\nAwards 1 combo point.
66	Invisibility	api	Turns you invisible over 3 sec, reducing threat each second. While invisible, you are untargetable by enemies. Lasts 20 sec. Taking any action cancels the effect.
99	Incapacitating Roar	api	Shift into Bear Form and invoke the spirit of Ursol to let loose a deafening roar, incapacitating all enemies within 10 yards for 3 sec. Damage may cancel the effect.
100	Charge	api	Charge to an enemy, dealing 7 Physical damage, rooting it for 1 sec.\n\nGenerates 20 Rage.
116	Frostbolt	api	Launches a bolt of frost at the enemy, causing 1,008 Frost damage and slowing movement speed by 50% for 8 sec.
118	Polymorph	api	Transforms the enemy into a sheep, wandering around incapacitated for 1 min. While affected, the victim cannot take actions but will regenerate health very quickly. Damage may cancel the effect. Limit 1.\n\nOnly works on Beasts, Humanoids and Critters.
120	Cone of Cold	api	Targets in a cone in front of you take 174 Frost damage and have movement slowed by 50% for 8 sec.
122	Frost Nova	api	Blasts enemies within 12 yds of you for 20 Frost damage and freezes them in place for 6 sec. Damage may interrupt the freeze effect.
126	Eye of Kilrogg	api	Summons an Eye of Kilrogg and binds your vision to it. The eye is stealthed and moves quickly but is very fragile.
130	Slow Fall	api	Slows a group member's falling speed for 30 sec.
133	Fireball	api	Throws a fiery ball that causes 1,616 Fire damage.
136	Mend Pet	api	Heals your pet for 50% of its total health over 10 sec.
339	Entangling Roots	api	Roots the target in place for 30 sec. Damage may cancel the effect.
348	Immolate	api	Burns the enemy, causing 354 Fire damage immediately and an additional 1,493 Fire damage over 18 sec.\n\nPeriodic damage generates 1 Soul Shard Fragment and has a 50% chance to generate an additional 1 on critical strikes.
355	Taunt	api	Taunts the target to attack you, and increases the threat you generate against them by 800% for 6 sec.
370	Purge	api	Purges the enemy target, removing 1 beneficial Magic effect.
